,taxon_id,taxon_size,mean_cosine_score,taxon_base_path,taxon_level,level1taxon,fewer_than_or_equal_5items,more_than_0_5_diversity
47,a1e624ed-e268-44ab-ac3f-4d3cb2bb8cb5,1257,0.5213391184806824,/regional-and-local-government/northern-ireland,2,Regional and local government,0,1
167,a544d48b-1e9e-47fb-b427-7a987c658c14,687,0.5208284258842468,/corporate-information,1,Corporate information,0,1
203,165bfd10-8402-4719-b38e-62ca618d3b8f,873,0.5195132493972778,/crime-justice-and-law/counter-terrorism,2,"Crime, justice and law",0,1
935,503c5bc7-809a-47b9-83e2-bd0c212dbabb,9,0.517748236656189,/regional-and-local-government,1,Regional and local government,0,1
498,20086ead-41fc-49cf-8a62-d4e1126f41fc,6,0.5165402293205261,/life-circumstances,1,Life circumstances,0,1
128,ccb77bcc-56b4-419a-b5ce-f7c2234e0546,3385,0.5151935815811157,/business-and-industry/science-and-innovation,2,Business and industry,0,1
621,0bb6e269-4c6d-432d-96b6-f2b343a7603c,113,0.5149402618408203,/society-and-culture/charities-honours,2,Society and culture,0,1
1160,fe0b40e6-f742-45b0-9b2c-2cb976ce18ad,5,0.5137720704078674,/life-circumstances/marriage-divorce,2,Life circumstances,1,1
549,8758d11e-3c6f-4b81-99e6-791a99e44363,47,0.5136504173278809,/business-and-industry/business-licensing,3,Business and industry,0,1
417,a8914bfb-2b86-4550-86c3-6dd55a331012,105,0.5122669339179993,/environment/waste-management,3,Environment,0,1
1086,c39ac533-be2c-4460-93ba-e656793568ef,29,0.5120972394943237,/business-and-industry/sale-goods-services-data,3,Business and industry,0,1
70,ba951b09-5146-43be-87af-44075eac3ae9,4121,0.5120872855186462,/crime-justice-and-law,1,"Crime, justice and law",0,1
61,dded88e2-f92e-424f-b73e-6ad24a839c51,1294,0.5120596289634705,/welfare,1,Welfare,0,1
730,16bb50c0-2ca2-49e9-8b21-088789e66d5e,26,0.51185542345047,/society-and-culture/digital-inclusion-and-accessibility,2,Society and culture,0,1
112,62e08e6f-9161-42c6-b9dd-0cf8fcab2c69,3379,0.5102326273918152,/environment/climate-change-energy,2,Environment,0,1
874,54e4169c-2ccc-411a-9736-ff7ec65927f5,24,0.5084608197212219,/business-and-industry/business-auditing-accounting-reporting,3,Business and industry,0,1
141,e2559668-cf36-47fc-8a77-2e760e12a812,664,0.5082380771636963,/environment/food-and-farming-industry,3,Environment,0,1
295,c8f01be4-435b-46d1-b6d2-7fc4cebc0518,421,0.508233904838562,/business-and-industry/media-and-creative-industries,3,Business and industry,0,1
353,4b9f1f6f-0c16-4a99-94e5-e58a3fba461f,164,0.508149266242981,/defence/military-recruitment-training-operations,2,Defence and armed forces,0,1
1,d0f1e5a3-c8f4-4780-8678-994f19104b21,1869,0.5068933367729187,/work,1,Work,0,1
142,7f4eaf37-60f8-4d8c-a968-7829098e05ff,815,0.5063381791114807,/crime-justice-and-law/crime-prevention,2,"Crime, justice and law",0,1
350,aa0a52d8-72e3-4901-bdcf-f91ac3fa9b1e,67,0.506101131439209,/business/business-tax-import-export-rules-for-specific-goods-and-services,4,Business and industry,0,1
36,75efcbd0-4f01-4ce2-b151-01a58f8fb7a9,701,0.5051355957984924,/society-and-culture/equality,3,Society and culture,0,1
849,383f2d71-b239-4d90-b89b-600340b34332,31,0.5019301176071167,/government/public-services,2,Government,0,1
14,4ad66168-274d-4d83-9195-f4ab0ccc97cb,2636,0.5017698407173157,/housing-local-and-community/housing,2,"Housing, local and community",0,1
732,8f37d5c2-47d8-479d-837d-6db44714277e,56,0.5007737874984741,/environment/cattle-identification-registration-movements,4,Environment,0,1
376,f0aaf5e3-c820-4229-ac1e-6a484aa4f0a2,263,0.5005651712417603,/society-and-culture/conservation-of-historic-buildings-and-monuments,3,Society and culture,0,1
395,2687579f-e20c-43cb-af77-f3d002951747,259,0.500053346157074,/business/consumer-protection,4,Business and industry,0,1
499,21083c28-2138-49a9-9642-becc0cd2b9e8,135,0.499681293964386,/society-and-culture/elite-sports-performance,3,Society and culture,0,0
410,262e9ea7-90fc-4ac8-8aa7-fc294282a1d4,169,0.49900832772254944,/entering-staying-uk/border-control,2,Entering and staying in the UK,0,0
488,3506d46e-62d7-4602-93f5-fcb9bb2aade8,206,0.4988040030002594,/society-and-culture/national-events-and-ceremonies,2,Society and culture,0,0
475,b48b3d72-68e4-4d17-9846-c5b2bbc028d5,349,0.4986947774887085,/society-and-culture/museums-and-galleries,3,Society and culture,0,0
351,277fd1ce-61c3-46a4-9172-3101fda02111,150,0.4977700412273407,/business/business-tax-import-export-uk-trade-tariff-and-classification-of-goods,4,Business and industry,0,0
254,bc962246-c8d5-43ba-97c3-08ed5f3f66ba,536,0.4973823130130768,/environment/animal-and-plant-health,3,Environment,0,0
71,9949c2c1-ff96-4b4f-b584-c700e316c9de,979,0.4964876174926758,/environment/rural-and-countryside,2,Environment,0,0
193,726973fd-94af-4ca3-9293-82871baab436,247,0.49560630321502686,/international/governance-in-developing-countries,3,International,0,0
50,d6a4884e-769d-4b81-8ba5-b64394362d92,6269,0.4950931668281555,/health-and-social-care/public-health,2,Health and social care,0,0
431,c58fdadd-7743-46d6-9629-90bb3ccc4ef0,185,0.4939948618412018,/education,1,"Education, training and skills",0,0
69,d6dba75a-42bd-4e1e-984c-2bddb6b41951,1930,0.49128422141075134,/international/foreign-affairs,2,International,0,0
247,96c479bc-9b6c-49d3-8e86-3821f43a6fb0,262,0.49084702134132385,/society-and-culture/tourism,2,Society and culture,0,0
743,c3bc9a54-2d49-4236-962a-8414c6c33a86,29,0.49063366651535034,/business-and-industry/limited-companies-and-partnerships,3,Business and industry,0,0
367,d34ba9b3-28d8-40d5-a2d3-f52d216c2590,79,0.48916468024253845,/business-and-industry/manufacturing,2,Business and industry,0,0
82,e3147d4f-4bd5-4a14-a386-4ba7ccb058b4,1683,0.4886760711669922,/housing-local-and-community/planning-and-building,2,"Housing, local and community",0,0
775,1ea328f0-cf82-4163-943d-8293c0d3c740,26,0.487821489572525,/environment/producing-distributing-food-import-export,4,Environment,0,0
345,e4b9e05a-6c04-4e18-945f-4584c08c4628,135,0.4875219762325287,/defence/support-services-military-defence-personnel-families,2,Defence and armed forces,0,0
174,54758e13-1f51-4413-833c-70254776b06f,730,0.4872063994407654,/business/uk-economic-growth,3,Business and industry,0,0
432,1da20ae5-526d-4313-b93d-fed4491f8ed8,99,0.4848860502243042,/business/business-exports-commodity-codes-and-reporting,4,Business and industry,0,0
189,5d0b158c-7c31-41f8-84ae-8e4e950c1f0c,1039,0.4847344160079956,/money/tax-agent-guidance,3,Money,0,0
56,c7db8692-d5a3-4d09-a7f6-3d1c0ab2f4ae,270,0.48347121477127075,/environment/animal-welfare,3,Environment,0,0
317,62fcbba5-3a75-4d15-85a6-d8a80b03d57c,75,0.4821901023387909,/welfare/universal-credit,2,Welfare,0,0
1057,3e4df71e-474d-4a40-bd6a-b3072affa151,23,0.48173341155052185,/transport/freight-and-cargo,2,Transport,0,0
140,8f589b76-f3ee-4eca-adf6-2ad70807ad8c,1388,0.4813632071018219,/defence/armed-forces-and-ministry-of-defence-reform,2,Defence and armed forces,0,0
97,bf53bd19-433e-46c5-b6a9-f3a690130a75,291,0.48102137446403503,/society-and-culture/sports-participation,3,Society and culture,0,0
106,efa9782b-a3d0-4ca0-9c92-3b89748175b7,177,0.4804653227329254,/business-and-industry/exporting,3,Business and industry,0,0
472,55e8ea89-9ba8-4439-a703-7d26723a4ec0,52,0.47997063398361206,/employment/recruiting-hiring,3,Work,0,0
282,a60247cb-f081-4ec2-ab01-da1465766b7d,266,0.4799383282661438,/international/economic-growth-in-developing-countries,3,International,0,0
41,28262ae3-599c-4259-ae30-3c83a5ec02a1,522,0.47888001799583435,/money/business-tax,2,Money,0,0
494,090c16bc-7b3e-42cd-b93c-645ab43fae30,58,0.47853636741638184,/environment/waste-environment,3,Environment,0,0
517,8aa41155-58ff-4d7d-a11a-7e3ef42863dd,77,0.4778851270675659,/business-and-industry/running-a-business,2,Business and industry,0,0
831,b83f3fc7-4057-4aee-a9db-4d5fb8b49e2a,18,0.4766472280025482,/work/health-safety-at-work,2,Work,0,0
104,36fba1a2-75e5-4041-942e-6d5eac7dd83c,316,0.47636380791664124,/international/health-in-developing-countries,3,International,0,0
664,dbbf7f4d-78aa-46ac-8e67-d937fe9a8c69,50,0.4759634733200073,/transport/vehicle-ownership-approval-and-standards,3,Transport,0,0
22,3b1f1d58-dcd5-4d7e-adb6-fcc4c56324d0,241,0.47530293464660645,/transport/road-safety-driving-rules-and-penalties,3,Transport,0,0
770,cade4e7d-0397-459d-a880-3d2753dd39c2,41,0.4750799834728241,/crime-justice-and-law/law-practice,2,"Crime, justice and law",0,0
7,951ece54-c6df-4fbc-aa18-1bc629815fe2,9283,0.4748821556568146,/transport/air-accidents-and-serious-incidents,3,Transport,0,0
184,fd64b5ec-ac60-47fa-8d29-ceced4444b3c,178,0.4747636616230011,/society-and-culture/poverty-and-social-justice,3,Society and culture,0,0
152,8124ead8-8ebc-4faf-88ad-dd5cbcc92ba8,475,0.4746723473072052,/health-and-social-care,1,Health and social care,0,0
950,15ddf138-3989-4997-b79c-1aa0ae496b26,25,0.47428759932518005,/health-and-social-care/disabilities-equipment,3,Health and social care,0,0
9,f3f4b5d3-49c4-487b-bd5b-be75f11ec8c5,16348,0.47351643443107605,/government/government-efficiency-transparency-and-accountability,2,Government,0,0
232,0ee0e4df-7b06-47e4-8f1c-242603e16577,25,0.4729922413825989,/employment/rights-trade-unions,3,Work,0,0
561,0f5a550a-39ad-4a60-b1e8-c93bd173dd62,113,0.47243592143058777,/international/education-in-developing-countries,3,International,0,0
280,429bf677-b514-4c10-8a89-c0eee4acc7ec,160,0.47206664085388184,/business-and-industry/scientific-research-and-development,3,Business and industry,0,0
65,f6b0aa9d-2aa6-43ed-b72a-85f22affb506,522,0.47181642055511475,/business/competition-law,4,Business and industry,0,0
871,c195d3e6-5924-4def-b1c2-24a685a0b210,37,0.47152239084243774,/business-and-industry/recruiting-hiring,4,Business and industry,0,0
267,6dbae400-2416-4bdc-8b70-c32d303e7613,106,0.4711686670780182,/business/gambling-regulation,4,Business and industry,0,0
722,c7b0c302-6c2d-4ba0-b7ff-106ba2261491,165,0.4709509015083313,/health-and-social-care/healthy-eating,4,Health and social care,0,0
715,536f83c0-8c67-47a3-88a4-d5b1eda591ed,86,0.47079241275787354,/welfare/entitlement,2,Welfare,0,0
931,cefad480-c674-46c9-8bd6-8d71beb3e372,11,0.4696865379810333,/housing-local-and-community/neighours-noise-pests,3,"Housing, local and community",0,0
33,8ffb6190-125b-4ada-833a-8428eae135f5,475,0.46941888332366943,/environment/marine-fisheries,3,Environment,0,0
1077,4133cff8-c12d-49eb-8c1a-31ec179a0dbf,8,0.4687485098838806,/environment/keeping-farmed-animals,3,Environment,0,0
433,9bedcc51-0f02-4310-ad19-fa54338912e1,62,0.468513548374176,/business/business-imports-commodity-codes-and-reporting,4,Business and industry,0,0
716,21bfd8f6-3360-43f9-be42-b00002982d70,47,0.4681856334209442,/employment/finding-job,3,Work,0,0
168,1c17540f-f4a3-435b-a5b2-5c36e4200be8,460,0.4680522382259369,/government/fire-prevention-and-rescue,3,Government,0,0
296,11e420a6-87aa-46e3-a7f0-4c06fd5afe58,80,0.4679272472858429,/society-and-culture/national-lottery-funding,3,Society and culture,0,0
640,cebc01ee-f70a-4397-a552-622e10b62508,169,0.4662896394729614,/health-and-social-care/medicines-medical-devices-blood,2,Health and social care,0,0
207,f137663b-cdf5-4065-ac94-976ddacdf300,324,0.46599939465522766,/business/communications-and-telecomms,3,Business and industry,0,0
1024,90c9b9f1-0a4f-4639-b1e9-2bfb23d611bd,14,0.46563950181007385,/government/government-technology-and-digital-services,2,Government,0,0
120,42fdd045-cadf-474b-b8a6-ca20a77c43bb,184,0.46541738510131836,/environment/marine,2,Environment,0,0
437,fa5b3b7e-682a-49fd-bf99-d2cfe3e16a26,39,0.4651930630207062,/crime-justice-and-law/reporting-crimes-compensation,2,"Crime, justice and law",0,0
386,23469a75-889a-47cc-a216-2d2096ab847c,53,0.4650430977344513,/business/business-tax-import-export-get-goods-through-customs,4,Business and industry,0,0
808,0a018d28-e3a8-4db7-a593-c8a0bfb57319,52,0.4649982750415802,/life-circumstances/child-adoption,2,Life circumstances,0,0
810,d48ad4df-f65a-4386-b041-ff4f936ac546,45,0.46438658237457275,/transport/roads-and-the-environment,3,Transport,0,0
284,7c75c541-403f-4cb1-9b34-4ddde816a80d,323,0.4641869068145752,/education/school-curriculum,2,"Education, training and skills",0,0
305,ae747de8-96ad-4f66-9d6d-4d5c357e9956,266,0.46349531412124634,/society-and-culture/young-people,2,Society and culture,0,0
278,9f183c2c-2256-42d7-a12d-ced7b7f24195,882,0.4629964530467987,/defence/international-defence-commitments,2,Defence and armed forces,0,0
197,542654d1-8006-4aa0-b85f-f243f14c1700,144,0.46212518215179443,/environment/rural-economy-and-community,4,Environment,0,0
377,b20215a9-25fb-4fa6-80a3-42e23f5352c2,266,0.46185338497161865,/money/dealing-with-hmrc,2,Money,0,0
268,544a5fe2-b97c-4239-a6be-620469146a8b,238,0.46184179186820984,/business-and-industry/corporate-governance,2,Business and industry,0,0
172,33bc0eed-62c7-4b0b-9a93-626c9e10c025,314,0.461293488740921,/business-and-industry/business-regulation,2,Business and industry,0,0
840,ebeaf804-c1b1-40cd-920f-319aa2b56ba3,36,0.4612025022506714,/employment/time-off,3,Work,0,0
484,eb09af12-3310-4c84-9a06-3e8895ce95e3,139,0.46080008149147034,/international/hunger-and-malnutrition-in-developing-countries,3,International,0,0
46,7d67047c-bf22-4c34-b566-b46d6973f961,1972,0.4606424868106842,/health-and-social-care/social-care,2,Health and social care,0,0
941,12be2e2c-505b-412d-bff1-ba301465c116,60,0.46042677760124207,/money/business-tax-reform,3,Money,0,0
593,206b7f3a-49b5-476f-af0f-fd27e2a68473,35,0.46022748947143555,/childcare-parenting,1,"Parenting, childcare and children's services ",0,0
211,6126d57d-df55-4f31-86ec-6d4388b513b1,422,0.46015557646751404,/government/civil-service-reform,3,Government,0,0
520,38e63219-ca99-4f48-b4c2-ca75402fee14,196,0.4598178267478943,/society-and-culture/social-mobility,3,Society and culture,0,0
17,d7e02519-b7ba-4297-80a8-01cd0e5f2cb2,930,0.4596553146839142,/business-and-industry/financial-services,2,Business and industry,0,0
177,5a8b6318-79d7-4ac0-81a3-f8e2b6ab7cf5,437,0.4596154987812042,/health-and-social-care/patient-safety,3,Health and social care,0,0
231,fa13521f-9285-45b0-bd65-4a472a8037e7,200,0.459126353263855,/entering-staying-uk/immigration-offences,2,Entering and staying in the UK,0,0
105,c93961e3-7980-4c8f-b318-d4557a16566f,296,0.45861032605171204,/international/women-and-girls-in-developing-countries,3,International,0,0
365,bbaa61d0-88a8-4fb4-a3ac-a4c33724c1de,61,0.45850467681884766,/business/designs,4,Business and industry,0,0
149,ac5d432a-11a9-40e1-bb83-0de26106b9d6,94,0.45829179883003235,/defence/military-equipment-logistics-technology,2,Defence and armed forces,0,0
306,756613a3-522d-4402-beb9-532b5708ba74,353,0.4579468369483948,/crime-justice-and-law/violence-against-women-and-girls,2,"Crime, justice and law",0,0
957,68cc0b3c-7f80-4869-9dc7-b2ceef5f4f08,28,0.4568641185760498,/business/premises-rates,3,Business and industry,0,0
40,ff10faa5-1bc0-41a4-8629-d528915ad7e4,1150,0.4566804766654968,/crime-justice-and-law/policing,2,"Crime, justice and law",0,0
80,c914fd40-dd0a-45c4-a6ff-bce0cda31bde,2765,0.4565803110599518,/regional-and-local-government/local-government,2,Regional and local government,0,0
687,c858776d-6763-4071-9d30-1804f31c5dca,162,0.4564700126647949,/money/personal-tax-reform,3,Money,0,0
122,d1b7471b-bdd1-4719-9376-b79d2f854807,199,0.45635586977005005,/crime-justice-and-law/victims-of-crime,2,"Crime, justice and law",0,0
942,6cbc4c56-f412-4116-bd2f-66dfbdcd94ae,26,0.4562690258026123,/crime-justice-and-law/criminal-record-disclosure,2,"Crime, justice and law",0,0
95,f3caf326-fe33-410f-b7f4-553f4011c81e,2524,0.45606961846351624,/government/government-spending,3,Government,0,0
183,13fb7519-c48e-4577-90f8-aaf483fa0c03,1002,0.4559912085533142,/business-and-industry/business-and-the-environment,2,Business and industry,0,0
312,a8db9a70-1365-4611-a754-ed5dcfe6fac4,877,0.4558304250240326,/international/overseas-aid-effectiveness,3,International,0,0
3,8f75f298-8126-47d4-8da1-ed67c4ecb39c,508,0.45569732785224915,/environment/biodiversity-and-ecosystems,3,Environment,0,0
500,27b9c5cd-b390-4332-89be-73491df35a41,158,0.45513227581977844,/going-and-being-abroad/passports,2,Going and being abroad,0,0
477,6e85c12f-f52b-41b3-93ad-59e5f19d64f6,8,0.45480644702911377,/entering-staying-uk/rights-foreign-nationals-uk,2,Entering and staying in the UK,0,0
279,bac7acc0-48aa-4889-ad2a-e0f5a138e6b0,586,0.4544219672679901,/environment/radioactive-and-nuclear-substances-and-waste,3,Environment,0,0
550,35a34e76-77fc-42b4-b8de-c587d30ff39a,56,0.45383042097091675,/money/gambling-duties,3,Money,0,0
361,f0dcb0b9-2f2c-46b0-adea-42a4fe608170,112,0.4534621238708496,/education/inspections-and-performance-of-education-providers,2,"Education, training and skills",0,0
236,2f9dba8b-83a2-4d99-b61b-a8738fa4e855,259,0.45326799154281616,/transport/road-freight,3,Transport,0,0
603,77df2bda-e5e3-402c-a4c4-f3bdda5d6051,262,0.45314207673072815,/environment/forests-and-woodland,3,Environment,0,0
799,02a5bdc0-9a62-4286-9128-c923845fa1c5,31,0.45311516523361206,/transport/transport-security,2,Transport,0,0
423,1bc7e8d6-e609-489c-b215-1c318b0b40bd,106,0.45268166065216064,/money/alcohol-duties,3,Money,0,0
1120,64f9fbaa-16f3-407f-b233-c1591a0753be,15,0.45258694887161255,/transport/animals-on-roads,3,Transport,0,0
545,1dd3f25a-9237-4143-b2d2-cd7f6863c9c0,129,0.45246875286102295,/crime-justice-and-law/prisons-probation,2,"Crime, justice and law",0,0
309,afd65c1c-dee0-4f5b-8bd6-4f502e4870af,718,0.4523140788078308,/crime-justice-and-law/justice-system-transparency,2,"Crime, justice and law",0,0
622,f4f28e9d-2050-45fb-ab76-78c0345670da,52,0.45209968090057373,/health-and-social-care/medicines-medical-devices-blood-marketing-authorisations-variations-licensing,3,Health and social care,0,0
16,4c18a195-9b74-4882-8d11-bf224ceb8292,637,0.4511527121067047,/employment/labour-market-reform,2,Work,0,0
115,7d9a81dd-c0f9-479f-b048-a4111f1e74ec,16,0.4508844316005707,/money/personal-tax-capital-gains-tax-business,4,Money,0,0
143,74f7449e-08f8-4325-b8db-3703cb99f4d0,633,0.4503537118434906,/business-and-industry/industrial-strategy,2,Business and industry,0,0
225,5984199c-d85c-4ffc-b13a-c5f2482d2258,845,0.45034098625183105,/business-and-industry/customs-declarations-duties-tariffs,3,Business and industry,0,0
201,d949275c-88f8-4623-a44b-eb3706651e10,476,0.45017823576927185,/business/intellectual-property,3,Business and industry,0,0
26,3afd1d79-597d-4f97-bc7a-83766dcab2f4,1416,0.4496920704841614,/government/europe,2,Government,0,0
354,0990f0d5-b8d9-431b-b252-66ab664acf1b,33,0.4495355188846588,/environment/pets,3,Environment,0,0
675,590c9109-d334-4ce8-b58d-7c9355979766,16,0.4492511749267578,/crime-justice-and-law/intellectual-property-law-practice-designs,3,"Crime, justice and law",0,0
164,1a045007-0eaf-4429-8240-ec034ee6e9d8,902,0.4492453932762146,/business-and-industry/research-and-development,3,Business and industry,0,0
751,8953ca7a-ed45-49a9-93af-87d55e69f910,53,0.4491930305957794,/environment/wildlife-habitat-conservation,3,Environment,0,0
316,35f5b496-add7-4263-8084-8510461881fe,218,0.4488864243030548,/business-and-industry/employing-people,3,Business and industry,0,0
313,7dbd6d59-0a26-473f-a6ef-70504a30b157,58,0.44866058230400085,/employment/older-people,3,Work,0,0
462,584eeb89-a08e-4a93-a5ac-3540bada1c23,101,0.4485916197299957,/business/trade-marks,4,Business and industry,0,0
43,76b03d8c-e5cc-4ba0-8630-c7cc71fb87ad,1337,0.44823548197746277,/welfare/welfare-reform,2,Welfare,0,0
180,106f6502-c289-436f-999a-2983f8530c99,74,0.4477907717227936,/business/access-to-financial-services,3,Business and industry,0,0
166,8db04387-9076-4287-ab46-6a6695b593d7,591,0.44742488861083984,/business/competition,3,Business and industry,0,0
529,587fd3ee-c009-4a49-8b30-557300c55bd1,121,0.4466167986392975,/crime-justice-and-law/knife-gun-and-gang-crime,2,"Crime, justice and law",0,0
656,1f21cce7-fc86-433c-a79b-1a4f0acb5a3a,151,0.44589754939079285,/defence/support-services-veterans-families,2,Defence and armed forces,0,0
195,d96e4efc-9c26-4d9b-9fa7-a036b5c11a65,365,0.44580692052841187,/going-and-being-abroad/travel-abroad,2,Going and being abroad,0,0
626,3b4d6319-fcef-4637-b35a-e3df76321894,240,0.44568392634391785,/transport/local-transport,2,Transport,0,0
146,37b6102b-20e3-4039-b332-84de8d2351ef,343,0.4454173743724823,/childcare-parenting/childrens-health,3,"Parenting, childcare and children's services ",0,0
1192,7b2a45e2-2f20-4331-a2b6-de512b007a52,5,0.44530701637268066,/crime-justice-and-law/intellectual-property-law-practice-copyright,3,"Crime, justice and law",1,0
102,268c139d-8d58-43ed-85f4-19c511e283e7,422,0.4449579119682312,/defence-and-armed-forces/armed-forces-covenant,2,Defence and armed forces,0,0
153,dd767840-363e-43ad-8835-c9ab516633de,818,0.44465070962905884,/education/further-and-higher-education-skills-and-vocational-training,2,"Education, training and skills",0,0
23,4919a97c-3249-496c-8485-b7c8d36d6ef0,513,0.44418108463287354,/crime-justice-and-law/legal-aid-for-providers,2,"Crime, justice and law",0,0
119,4a9ab4d7-0d03-4c61-9e16-47787cbf53cd,341,0.44357621669769287,/transport/maritime-and-shipping,2,Transport,0,0
557,d6af3ac9-e252-4e13-a673-405125797219,44,0.44347184896469116,/environment/coal,3,Environment,0,0
2,f3dcc290-752f-4bbe-b379-9155d919a58d,6664,0.4433622360229492,/health-and-social-care/national-health-service,2,Health and social care,0,0
917,855ff797-b717-49b1-ab48-eeeef0ab6432,60,0.44333380460739136,/business/copyright,4,Business and industry,0,0
374,05a9527b-e6e9-4a68-8dd7-7d84e6a24eef,77,0.44319072365760803,/welfare/disability,2,Welfare,0,0
24,a1efce91-28c3-4a33-a2fd-48364b1119a4,882,0.44317150115966797,/environment/pollution-and-environmental-quality,2,Environment,0,0
170,d956c72a-246d-4787-af39-00bf58b2ea66,438,0.4431617558002472,/going-and-being-abroad/living-abroad,2,Going and being abroad,0,0
988,47fbdb87-b4ff-432a-a4cf-a2f2468ff6d4,55,0.4431580901145935,/childcare-parenting/preventing-neglect-abuse-and-exploitation,4,"Parenting, childcare and children's services ",0,0
248,8c5b3892-26cf-4254-b5e8-23c6e7d39c46,468,0.4430931806564331,/society-and-culture/2012-olympic-and-paralympic-legacy,3,Society and culture,0,0
369,d74faafc-781d-4087-8e0c-be4216180059,92,0.44293761253356934,/business-and-industry/importing,3,Business and industry,0,0
349,5bfde35c-eefb-4bae-b608-72e0e41a3fb2,368,0.44264382123947144,/society-and-culture/social-action,3,Society and culture,0,0
206,a4038b29-b332-4f13-98b1-1c9709e216bc,368,0.4424768388271332,/transport,1,Transport,0,0
655,6eff5cae-d700-42a4-8812-dae6e246faed,17,0.44219499826431274,/business-and-industry/import-controls,4,Business and industry,0,0
221,86f769e5-f0a9-4d6c-8fbc-602dd5f13ad8,276,0.4421631693840027,/money/paye,3,Money,0,0
684,24e91c04-21cb-479a-8f23-df0eaab31788,78,0.4421263635158539,/employment/self-employed,2,Work,0,0
525,940e7a57-171a-4dad-b6eb-e2a5a87c9cec,221,0.4416983723640442,/education/inspection-and-performance-of-schools,3,"Education, training and skills",0,0
